,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value
14,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0015,Machining_Date,2024-05-02
15,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0016,Machining_Date,2024-05-06
16,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0017,Machining_Date,2024-05-06
17,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0018,Machining_Date,2024-05-06
18,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0019,Machining_Date,2024-05-06
19,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0020,Machining_Date,2024-05-06
20,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0021,Machining_Date,2024-05-06
21,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0022,Machining_Date,2024-05-06
22,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0023,Machining_Date,2024-05-06
23,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0024,Machining_Date,2024-05-06
24,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0025,Machining_Date,2024-05-06
25,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0026,Machining_Date,2024-05-06
26,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0027,Machining_Date,2024-05-06
27,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0028,Machining_Date,2024-05-06
28,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0029,Machining_Date,2024-05-06
29,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0030,Machining_Date,2024-05-06
30,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0031,Machining_Date,2024-05-06
31,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0032,Machining_Date,2024-05-06
32,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0033,Machining_Date,2024-05-06
33,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0034,Machining_Date,2024-05-06
34,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0035,Machining_Date,2024-05-06
35,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0036,Machining_Date,2024-05-06
36,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0037,Machining_Date,2024-05-06
37,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0038,Machining_Date,2024-05-06
38,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0039,Machining_Date,2024-05-06
39,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0040,Machining_Date,2024-05-06
40,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0041,Machining_Date,2024-05-06
41,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0042,Machining_Date,2024-05-06
42,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0043,Machining_Date,2024-05-06
43,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0044,Machining_Date,2024-05-06
44,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bg,PART_NUMBER,CB1-0045,Machining_Date,2024-05-06
45,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0046,Machining_Date,2024-05-06
46,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0047,Machining_Date,2024-05-06
47,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0048,Machining_Date,2024-05-06
48,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0049,Machining_Date,2024-05-06
49,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0050,Machining_Date,2024-05-06
50,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0051,Machining_Date,2024-05-06
51,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0052,Machining_Date,2024-05-06
52,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0053,Machining_Date,2024-05-06
53,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0054,Machining_Date,2024-05-06
54,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0055,Machining_Date,2024-05-06
55,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0056,Machining_Date,2024-05-06
56,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0057,Machining_Date,2024-05-06
57,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0058,Machining_Date,2024-05-06
58,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0059,Machining_Date,2024-05-06
59,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0060,Machining_Date,2024-05-06
60,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0061,Machining_Date,2024-05-06
61,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0062,Machining_Date,2024-05-06
62,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0063,Machining_Date,2024-05-07
63,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0064,Machining_Date,2024-05-07
64,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0065,Machining_Date,2024-05-07
65,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0066,Machining_Date,2024-05-07
66,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0067,Machining_Date,2024-05-07
67,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0068,Machining_Date,2024-05-07
68,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0069,Machining_Date,2024-05-07
69,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0070,Machining_Date,2024-05-07
70,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0071,Machining_Date,2024-05-07
71,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0072,Machining_Date,2024-05-07
72,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0073,Machining_Date,2024-05-07
73,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0074,Machining_Date,2024-05-07
74,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0075,Machining_Date,2024-05-07
75,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0076,Machining_Date,2024-05-07
76,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0077,Machining_Date,2024-05-07
77,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0078,Machining_Date,2024-05-07
78,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0079,Machining_Date,2024-05-07
79,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0080,Machining_Date,2024-05-07
80,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0081,Machining_Date,2024-05-07
81,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0082,Machining_Date,2024-05-07
82,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0083,Machining_Date,2024-05-07
83,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0084,Machining_Date,2024-05-07
84,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0085,Machining_Date,2024-05-07
85,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0086,Machining_Date,2024-05-07
86,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0087,Machining_Date,2024-05-07
87,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0088,Machining_Date,2024-05-07
88,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0089,Machining_Date,2024-05-07
89,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0090,Machining_Date,2024-05-07
90,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0091,Machining_Date,2024-05-07
91,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0092,Machining_Date,2024-05-07
92,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0093,Machining_Date,2024-05-07
93,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0094,Machining_Date,2024-05-07
94,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0095,Machining_Date,2024-05-07
95,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bh,PART_NUMBER,CB1-0096,Machining_Date,2024-05-07
96,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0097,Machining_Date,2024-05-07
97,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0098,Machining_Date,2024-05-07
98,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0099,Machining_Date,2024-05-07
99,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0100,Machining_Date,2024-05-07
100,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0101,Machining_Date,2024-05-07
101,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0102,Machining_Date,2024-05-07
102,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0103,Machining_Date,2024-05-07
103,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0104,Machining_Date,2024-05-07
104,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0105,Machining_Date,2024-05-07
105,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0106,Machining_Date,2024-05-08
106,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0107,Machining_Date,2024-05-08
107,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0108,Machining_Date,2024-05-08
108,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0109,Machining_Date,2024-05-08
109,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0110,Machining_Date,2024-05-08
110,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0111,Machining_Date,2024-05-08
111,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0112,Machining_Date,2024-05-08
112,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0113,Machining_Date,2024-05-08
113,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0114,Machining_Date,2024-05-08
114,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0115,Machining_Date,2024-05-08
115,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0116,Machining_Date,2024-05-08
116,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0117,Machining_Date,2024-05-08
117,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0118,Machining_Date,2024-05-08
118,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0119,Machining_Date,2024-05-08
119,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0120,Machining_Date,2024-05-08
120,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0121,Machining_Date,2024-05-08
121,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0122,Machining_Date,2024-05-08
122,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0123,Machining_Date,2024-05-08
123,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0124,Machining_Date,2024-05-08
124,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0125,Machining_Date,2024-05-08
125,P,PB,BONN,OB_COOLING_BLOCK,OB_COOLING_BLOCK,MATERIAL_ROD_AL-G_SUPPLIER_REFERENCE,24/01/2024/bi,PART_NUMBER,CB1-0126,Machining_Date,2024-05-08
