,project,subproject,institution,componentType,type,property1_key,property1_value,property2_key,property2_value,property3_key,property3_value,property4_key,property4_value,property5_key,property5_value
33,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0034,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
34,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0035,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
35,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0036,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
36,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0037,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
37,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0038,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
38,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0039,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
39,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0040,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
40,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0041,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
41,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0042,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
42,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0043,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
43,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0044,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
44,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0045,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
45,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0046,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
46,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0047,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
47,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0048,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
48,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0049,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
49,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0050,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
50,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0051,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
51,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0052,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
52,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0053,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
53,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0054,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
54,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0055,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
55,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0056,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
56,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0057,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
57,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0058,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
58,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0059,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
59,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0060,PACKAGE_DATE,1900-01-01,Assembly_Date,1900-01-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
60,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0061,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
61,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0062,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
62,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0063,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
63,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0064,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
64,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0065,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
65,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0066,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
66,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0067,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
67,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0068,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
68,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0069,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
69,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0070,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-30,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
70,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0071,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
71,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0072,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
72,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0073,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
73,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0074,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
74,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0075,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
75,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0076,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
76,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0077,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
77,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0078,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
78,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0079,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
79,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0080,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-08-31,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
80,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0081,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
81,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0082,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
82,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0083,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
83,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0084,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
84,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0085,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
85,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0086,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
86,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0087,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
87,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0088,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
88,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0089,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
89,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0090,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-01,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
90,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0091,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
91,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0092,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
92,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0093,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
93,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0094,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
94,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0095,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
95,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0096,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
96,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0097,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
97,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0098,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
98,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0099,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
99,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0100,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-02,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
100,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0101,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-05,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
101,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0102,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-05,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
102,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0103,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-05,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
103,P,PB,BONN,OB_BARE_MODULE_CELL,OB_BARE_MODULE_CELL,PART_NUMBER,BC0-0104,PACKAGE_DATE,1900-01-01,Assembly_Date,2022-09-05,Assembly_Tool_Identified,Eingabe?,ASSEMBLY_TOOL_POSITION,100
